ID,fastq.gz_size,output.bus_size,transcripts.txt_size,matrix.ec_size
EMTAB7320_v2,44727858241,8711431217,2110501,19611201
heart1k_v2,6046497907,2231191249,2110501,18100639
heart1k_v3,5816311093,1899895281,2110501,19221662
hgmm10k_v3,51777755275,16712257489,7405641,97914602
hgmm1k_v2,5259455044,1949348625,7405641,72591489
hgmm1k_v3,4436987535,1528638193,7405641,73536333
neuron10k_v3,24479802660,7541427217,2110501,22035183
pbmc10k_v3,47303551792,11843555185,2766592,58580127
pbmc1k_v3,5038856791,1309064433,2766592,41380228
SRR6956073_v2,11632700924,3561389169,1090011,8721822
SRR6998058_v2,4366628270,934446865,2110501,16876187
SRR7299563_v2,10299562468,2134014289,780482,1589118
SRR7692543_v2,22234741102,3672182001,893486,8200571
SRR8206317_v2,5647635810,2201795025,2110501,18815484
SRR8257100_v2,20007936092,5722457393,500053,3274183
SRR8327928_v2,19140003114,3767234097,2766592,46185292
SRR8513910_v2,16906160699,4342009297,414108,1364254
SRR8524760_v2,8318162826,2268102673,2766592,39037765
SRR8599150_v2,947876296,114424145,2110501,15780569
SRR8611943_v2,1652729940,535899153,327083,1007720
SRR8639063_v2,25365220813,11272014641,2110501,21532462
